ID,from_type,from_id,to_type,to_id
1,zibaldone,p1_2,person,Q185732
2,zibaldone,p1_2,person,Q185732
3,zibaldone,p1_4,person,Q1048
4,zibaldone,p1_4,person,Q4649
5,zibaldone,p1_6,person,Q250414
6,zibaldone,p1_6,person,Q631635
7,zibaldone,p2_1,person,Q6691
8,zibaldone,p2_1,person,Q6691
9,zibaldone,p2_1,person,Q41746
10,zibaldone,p2_1,person,Q213484
11,zibaldone,p2_1,person,Q6691
12,zibaldone,p2_1,person,Q41746
13,zibaldone,p2_1,person,Q82732
14,zibaldone,p2_1,person,Q1398
15,zibaldone,p2_1,person,Q529146
16,zibaldone,p2_1,person,Q868
17,zibaldone,p2_1,person,Q6197
18,zibaldone,p2_1,bibl,viaf22159474046227660092
19,zibaldone,p2_1,person,Q3659787
20,zibaldone,p2_1,place,Q2751
21,zibaldone,p2_2,person,Q655618
22,zibaldone,p3_2,person,Q6691
23,zibaldone,p3_5,person,Q1067
24,zibaldone,p3_5,person,Q1401
25,zibaldone,p3_5,person,Q1067
26,zibaldone,p3_5,person,Q1401
27,zibaldone,p3_5,person,Q48900
28,zibaldone,p3_5,person,Q6691
29,zibaldone,p3_5,person,Q1401
30,zibaldone,p3_5,person,Q1067
31,zibaldone,p3_5,person,Q48900
32,zibaldone,p3_5,person,Q168962
33,zibaldone,p3_5,person,Q566851
34,zibaldone,p3_5,person,Q6691
35,zibaldone,p3_5,person,Q1067
36,zibaldone,p3_5,person,Q48900
37,zibaldone,p3_5,person,Q529146
38,zibaldone,p3_5,person,Q296244
39,zibaldone,p3_5,person,Q723643
40,zibaldone,p3_5,person,Q1405
41,zibaldone,p3_5,person,Q26204
42,zibaldone,p3_5,person,Q185223
43,zibaldone,p3_5,person,Q31845
44,zibaldone,p3_5,person,Q26825
45,zibaldone,p3_5,person,Q41683
46,zibaldone,p3_5,person,Q129772
47,zibaldone,p5_1,bibl,Q48922
48,zibaldone,p5_1,person,Q55830775
49,zibaldone,p5_1,person,Q48900
50,zibaldone,p5_1,bibl,Q1053313
51,zibaldone,p5_1,person,Q17324876
52,zibaldone,p5_1,person,Q168962
53,zibaldone,p5_1,person,Q48900
54,zibaldone,p5_4,bibl,viaf231019921
55,zibaldone,p6_1,person,Q4649
56,zibaldone,p6_1,person,Q4649
57,zibaldone,p6_1,place,Q34374
58,zibaldone,p6_1,place,Q34374
59,zibaldone,p6_1,person,Q4649
60,zibaldone,p7_1,bibl,zibbibl088
61,zibaldone,p7_1,person,Q61895559
62,zibaldone,p7_1,person,Q122248
63,zibaldone,p7_1,person,Q37340
64,zibaldone,p7_1,person,Q4649
65,zibaldone,p8_1,person,Q6691
66,zibaldone,p8_1,paragraph,p461_1
67,zibaldone,p8_2,bibl,Q3010439
68,zibaldone,p8_2,person,Q193769
69,zibaldone,p8_3,place,Q38
70,zibaldone,p8_3,bibl,viaf315937988
71,zibaldone,p8_3,person,Q382682
72,zibaldone,p8_3,bibl,zibbibl088
73,zibaldone,p8_3,person,Q61895559
74,zibaldone,p9_1,person,Q742
75,zibaldone,p9_1,person,Q9068
76,zibaldone,p9_1,person,Q747
77,zibaldone,p9_1,person,Q49496
78,zibaldone,p9_1,person,Q621664
79,zibaldone,p9_1,person,Q1381729
80,zibaldone,p9_1,person,Q294100
81,zibaldone,p9_2,person,Q6691
82,zibaldone,p9_2,person,Q6197
83,zibaldone,p9_2,bibl,Q677997
84,zibaldone,p9_2,person,Q6197
85,zibaldone,p9_2,person,Q6691
86,zibaldone,p9_2,person,Q1067
87,zibaldone,p9_2,person,Q48900
88,zibaldone,p9_2,person,Q529146
89,zibaldone,p9_2,person,Q723643
90,zibaldone,p9_2,paragraph,p461_1
91,zibaldone,p10_1,person,Q47160
92,zibaldone,p10_1,bibl,viaf311808911
93,zibaldone,p10_1,person,Q172048
94,zibaldone,p10_1,bibl,Q3561146
95,zibaldone,p10_1,person,Q1048
96,zibaldone,p10_1,person,Q47160
97,zibaldone,p10_1,person,Q47160
98,zibaldone,p10_1,person,Q172048
99,zibaldone,p10_1,person,Q47160
100,zibaldone,p10_1,person,Q47160
101,zibaldone,p10_1,person,Q47160
102,zibaldone,p12_1,person,Q7198
103,zibaldone,p12_2,paragraph,p95_1
104,zibaldone,p12_3,person,Q296244
105,zibaldone,p12_3,bibl,Q1975147
106,zibaldone,p12_3,person,Q177847
107,zibaldone,p12_3,person,Q122248
108,zibaldone,p12_3,person,Q59180
109,zibaldone,p12_3,person,Q177847
110,zibaldone,p12_3,person,Q177847
111,zibaldone,p13_1,bibl,Q131458
112,zibaldone,p13_1,place,Q130321
113,zibaldone,p13_1,place,Q6489
114,zibaldone,p13_1,place,Q80344
115,zibaldone,p13_1,person,Q4649
116,zibaldone,p13_1,place,Q80344
117,zibaldone,p13_1,person,Q3954
118,zibaldone,p13_1,person,Q112
119,zibaldone,p13_1,bibl,Q8275
120,zibaldone,p13_1,bibl,Q8275
121,zibaldone,p13_1,bibl,viaf88782635
122,zibaldone,p13_1,person,Q23895319
123,zibaldone,p13_1,place,Q490
124,zibaldone,p13_3,person,Q723643
125,zibaldone,p13_3,person,Q723643
126,zibaldone,p13_3,person,Q1067
127,zibaldone,p13_3,person,Q3638090
128,zibaldone,p13_3,person,Q1067
129,zibaldone,p14_1,person,Q8409
130,zibaldone,p15_1,bibl,viaf42161329694152130663
131,zibaldone,p15_1,bibl,viaf56672363
132,zibaldone,p15_1,person,Q3839154
133,zibaldone,p15_1,person,Q49767
134,zibaldone,p15_1,person,Q981922
135,zibaldone,p15_1,person,Q361976
136,zibaldone,p15_1,person,Q3839154
137,zibaldone,p15_1,person,Q727363
138,zibaldone,p15_1,person,Q868
139,zibaldone,p15_1,person,Q6691
140,zibaldone,p15_1,person,Q213484
141,zibaldone,p15_1,paragraph,p14_1
142,zibaldone,p15_1,person,Q3839154
143,zibaldone,p15_1,person,Q41370
144,zibaldone,p15_1,person,Q213484
145,zibaldone,p15_1,person,Q1398
146,zibaldone,p15_1,person,Q7134950
147,zibaldone,p15_1,person,Q16647668
148,zibaldone,p15_1,person,Q3839154
149,zibaldone,p15_1,person,Q3839154
150,zibaldone,p15_1,person,Q3839154
151,zibaldone,p15_1,person,Q3839154
152,zibaldone,p15_1,person,Q79759
