ID,xmlid,type,label,uri
1,p1_1,paragraph,"1,1",https://digitalzibaldone.net/paragraph/p1_1
2,p1_2,paragraph,"1,2",https://digitalzibaldone.net/paragraph/p1_2
3,p1_3,paragraph,"1,3",https://digitalzibaldone.net/paragraph/p1_3
4,p1_4,paragraph,"1,4",https://digitalzibaldone.net/paragraph/p1_4
5,p1_5,paragraph,"1,5",https://digitalzibaldone.net/paragraph/p1_5
6,p1_6,paragraph,"1,6",https://digitalzibaldone.net/paragraph/p1_6
7,p2_1,paragraph,"2,1",https://digitalzibaldone.net/paragraph/p2_1
8,p2_2,paragraph,"2,2",https://digitalzibaldone.net/paragraph/p2_2
9,p3_1,paragraph,"3,1",https://digitalzibaldone.net/paragraph/p3_1
10,p3_2,paragraph,"3,2",https://digitalzibaldone.net/paragraph/p3_2
11,p3_3,paragraph,"3,3",https://digitalzibaldone.net/paragraph/p3_3
12,p3_4,paragraph,"3,4",https://digitalzibaldone.net/paragraph/p3_4
13,p3_5,paragraph,"3,5",https://digitalzibaldone.net/paragraph/p3_5
14,p5_1,paragraph,"5,1",https://digitalzibaldone.net/paragraph/p5_1
15,p5_2,paragraph,"5,2",https://digitalzibaldone.net/paragraph/p5_2
16,p5_3,paragraph,"5,3",https://digitalzibaldone.net/paragraph/p5_3
17,p5_4,paragraph,"5,4",https://digitalzibaldone.net/paragraph/p5_4
18,p6_1,paragraph,"6,1",https://digitalzibaldone.net/paragraph/p6_1
19,p6_2,paragraph,"6,2",https://digitalzibaldone.net/paragraph/p6_2
20,p7_1,paragraph,"7,1",https://digitalzibaldone.net/paragraph/p7_1
21,p7_2,paragraph,"7,2",https://digitalzibaldone.net/paragraph/p7_2
22,p7_3,paragraph,"7,3",https://digitalzibaldone.net/paragraph/p7_3
23,p7_4,paragraph,"7,4",https://digitalzibaldone.net/paragraph/p7_4
24,p8_1,paragraph,"8,1",https://digitalzibaldone.net/paragraph/p8_1
25,p8_2,paragraph,"8,2",https://digitalzibaldone.net/paragraph/p8_2
26,p8_3,paragraph,"8,3",https://digitalzibaldone.net/paragraph/p8_3
27,p9_1,paragraph,"9,1",https://digitalzibaldone.net/paragraph/p9_1
28,p9_2,paragraph,"9,2",https://digitalzibaldone.net/paragraph/p9_2
29,p10_1,paragraph,"10,1",https://digitalzibaldone.net/paragraph/p10_1
30,p12_1,paragraph,"12,1",https://digitalzibaldone.net/paragraph/p12_1
31,p12_2,paragraph,"12,2",https://digitalzibaldone.net/paragraph/p12_2
32,p12_3,paragraph,"12,3",https://digitalzibaldone.net/paragraph/p12_3
33,p13_1,paragraph,"13,1",https://digitalzibaldone.net/paragraph/p13_1
34,p13_2,paragraph,"13,2",https://digitalzibaldone.net/paragraph/p13_2
35,p13_3,paragraph,"13,3",https://digitalzibaldone.net/paragraph/p13_3
36,p14_1,paragraph,"14,1",https://digitalzibaldone.net/paragraph/p14_1
37,p15_1,paragraph,"15,1",https://digitalzibaldone.net/paragraph/p15_1
38,p20_1,paragraph,"20,1",https://digitalzibaldone.net/paragraph/p20_1
39,p21_1,paragraph,"21,1",https://digitalzibaldone.net/paragraph/p21_1
40,p21_2,paragraph,"21,2",https://digitalzibaldone.net/paragraph/p21_2
41,p21_3,paragraph,"21,3",https://digitalzibaldone.net/paragraph/p21_3
42,p21_4,paragraph,"21,4",https://digitalzibaldone.net/paragraph/p21_4
43,p21_5,paragraph,"21,5",https://digitalzibaldone.net/paragraph/p21_5
44,p23_1,paragraph,"23,1",https://digitalzibaldone.net/paragraph/p23_1
45,p23_2,paragraph,"23,2",https://digitalzibaldone.net/paragraph/p23_2
46,p23_3,paragraph,"23,3",https://digitalzibaldone.net/paragraph/p23_3
47,p23_4,paragraph,"23,4",https://digitalzibaldone.net/paragraph/p23_4
48,p23_5,paragraph,"23,5",https://digitalzibaldone.net/paragraph/p23_5
49,p23_6,paragraph,"23,6",https://digitalzibaldone.net/paragraph/p23_6
50,p24_1,paragraph,"24,1",https://digitalzibaldone.net/paragraph/p24_1
51,p24_2,paragraph,"24,2",https://digitalzibaldone.net/paragraph/p24_2
52,p24_3,paragraph,"24,3",https://digitalzibaldone.net/paragraph/p24_3
53,p25_1,paragraph,"25,1",https://digitalzibaldone.net/paragraph/p25_1
54,p26_1,paragraph,"26,1",https://digitalzibaldone.net/paragraph/p26_1
55,p26_2,paragraph,"26,2",https://digitalzibaldone.net/paragraph/p26_2
56,p27_1,paragraph,"27,1",https://digitalzibaldone.net/paragraph/p27_1
57,p28_1,paragraph,"28,1",https://digitalzibaldone.net/paragraph/p28_1
58,p28_2,paragraph,"28,2",https://digitalzibaldone.net/paragraph/p28_2
59,p28_3,paragraph,"28,3",https://digitalzibaldone.net/paragraph/p28_3
60,p29_1,paragraph,"29,1",https://digitalzibaldone.net/paragraph/p29_1
61,p29_2,paragraph,"29,2",https://digitalzibaldone.net/paragraph/p29_2
62,p29_3,paragraph,"29,3",https://digitalzibaldone.net/paragraph/p29_3
63,p29_4,paragraph,"29,4",https://digitalzibaldone.net/paragraph/p29_4
64,p29_5,paragraph,"29,5",https://digitalzibaldone.net/paragraph/p29_5
65,p29_6,paragraph,"29,6",https://digitalzibaldone.net/paragraph/p29_6
66,p30_1,paragraph,"30,1",https://digitalzibaldone.net/paragraph/p30_1
67,p30_2,paragraph,"30,2",https://digitalzibaldone.net/paragraph/p30_2
68,p30_3,paragraph,"30,3",https://digitalzibaldone.net/paragraph/p30_3
69,p31_1,paragraph,"31,1",https://digitalzibaldone.net/paragraph/p31_1
70,p31_2,paragraph,"31,2",https://digitalzibaldone.net/paragraph/p31_2
